num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
40.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-11 09:54:00,"La Paz, Bc",2025-01-11 18:50:00,cabotaje entrada,general suelta,mercancías diversas,2090.6,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",10.0,9.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-11 09:54:00,"La Paz, Bc",2025-01-11 18:50:00,cabotaje salida,general suelta,mercancías diversas,2894.31,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
41.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-14 09:30:00,"La Paz, Bc",2025-01-14 18:25:00,cabotaje entrada,general suelta,mercancías diversas,1322.7,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",10.0,9.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-14 09:30:00,"La Paz, Bc",2025-01-14 18:25:00,cabotaje salida,general suelta,mercancías diversas,2982.77,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
42.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-16 09:15:00,"La Paz, Bc",2025-01-16 18:30:00,cabotaje entrada,general suelta,mercancías diversas,1302.0,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-16 09:15:00,"La Paz, Bc",2025-01-16 18:30:00,cabotaje salida,general suelta,mercancías diversas,2728.66,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
43.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-18 09:15:00,"La Paz, Bc",2025-01-18 19:20:00,cabotaje entrada,general suelta,mercancías diversas,1508.3,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",10.0,9.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-18 09:15:00,"La Paz, Bc",2025-01-18 19:20:00,cabotaje salida,general suelta,mercancías diversas,3081.68,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
44.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-21 09:30:00,"La Paz, Bc",2025-01-21 18:58:00,cabotaje entrada,general suelta,mercancías diversas,1685.2,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",10.0,9.0,5.8500000000000005,enero,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-21 09:30:00,"La Paz, Bc",2025-01-21 18:58:00,cabotaje salida,general suelta,mercancías diversas,3494.283,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,enero,2025
45.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-01-23 09:20:00,"La Paz, Bc",2025-01-23 18:27:00,cabotaje entrada,general suelta,mercancías diversas,1174.5,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",10.0,9.0,5.8500000000000005,enero,2025
