num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-23 08:48:00,"La Paz, Bc",2025-05-23 16:17:00,cabotaje salida,general suelta,mercancías diversas,2697.0,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
36.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-25 08:52:00,"La Paz, Bc",2025-05-25 16:31:00,cabotaje entrada,general suelta,mercancías diversas,2704.82,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-25 08:52:00,"La Paz, Bc",2025-05-25 16:31:00,cabotaje salida,general suelta,mercancías diversas,4393.28,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
37.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-28 08:54:00,"La Paz, Bc",2025-05-28 16:22:00,cabotaje entrada,general suelta,mercancías diversas,2473.56,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-28 08:54:00,"La Paz, Bc",2025-05-28 16:22:00,cabotaje salida,general suelta,mercancías diversas,3584.52,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
38.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-30 08:48:00,"La Paz, Bc",2025-05-30 16:17:00,cabotaje entrada,general suelta,mercancías diversas,2136.43,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-30 08:48:00,"La Paz, Bc",2025-05-30 16:17:00,cabotaje salida,general suelta,mercancías diversas,2658.77,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
39.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-05-01 09:48:00,"La Paz, Bc",2025-05-01 18:33:00,cabotaje entrada,general suelta,mercancías diversas,2590.7,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,mayo,2025
,San Jorge,9186637.0,embarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-05-01 09:48:00,"La Paz, Bc",2025-05-01 18:33:00,cabotaje salida,general suelta,mercancías diversas,3020.799,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",,,,mayo,2025
40.0,San Jorge,9186637.0,desembarque,Mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-05-03 09:54:00,"La Paz, Bc",2025-05-03 18:03:00,cabotaje entrada,general suelta,mercancías diversas,2128.5,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,mayo,2025
