num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-12 08:45:00,"La Paz, Bc",2025-02-12 17:00:00,cabotaje salida,general suelta,mercancías diversas,4140.99,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
29.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-14 08:43:00,"La Paz, Bc",2025-02-14 17:00:00,cabotaje entrada,general suelta,mercancías diversas,1513.81,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-14 08:43:00,"La Paz, Bc",2025-02-14 17:00:00,cabotaje salida,general suelta,mercancías diversas,2704.91,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
30.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-16 09:00:00,"La Paz, Bc",2025-02-16 16:55:00,cabotaje entrada,general suelta,mercancías diversas,2374.46,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-16 09:00:00,"La Paz, Bc",2025-02-16 16:55:00,cabotaje salida,general suelta,mercancías diversas,4160.18,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
31.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-19 08:40:00,"La Paz, Bc",2025-02-19 16:25:00,cabotaje entrada,general suelta,mercancías diversas,2237.11,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-19 08:40:00,"La Paz, Bc",2025-02-19 16:25:00,cabotaje salida,general suelta,mercancías diversas,3894.88,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
32.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-21 09:00:00,"La Paz, Bc",2025-02-21 16:25:00,cabotaje entrada,general suelta,mercancías diversas,1733.45,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,febrero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-21 09:00:00,"La Paz, Bc",2025-02-21 16:25:00,cabotaje salida,general suelta,mercancías diversas,2802.64,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,febrero,2025
33.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-02-23 08:30:00,"La Paz, Bc",2025-02-23 16:25:00,cabotaje entrada,general suelta,mercancías diversas,2560.75,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,febrero,2025
