num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
,Jaguar,7930759.0,desembarque,Mexico,1012.75,50.35,11.0,atunero,6.0,Pesca Chiapas S.A. de C.V,Via la Pesca,2025-02-25 04:10:00,Via la Pesca,2025-03-09 10:19:00,cabotaje entrada,general suelta,sal en sacos,35.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
25.0,Clarion,7515341.0,embarque,Mexicana,1012.75,55.1,11.0,atunero,5.0,"Hersea, S.A. de C.V.",Via la Pesca,2025-03-12 19:30:00,Via la Pesca,sin dato,cabotaje salida,general suelta,atún,516.3,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
26.0,Conquista,,embarque,Mexicana,918.17,59.3,12.0,atunero,6.0,"Agropesca del Fuerte, S.A. de C.V.",Via la Pesca,2025-03-01 17:20:00,Via la Pesca,2025-03-03 22:00:00,cabotaje salida,general suelta,atún,94.391,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,52.0,51.0,33.15,marzo,2025
27.0,Constanza,,desembarque,Mexicana,1308.0,70.0,13.0,atunero,7.0,Agencia Maritima Yamilay,Via la Pesca,2025-02-01 15:30:00,Via la Pesca,sin dato,cabotaje entrada,general suelta,atún,171.862,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
28.0,Maria Antonieta,,embarque,Mexicana,1155.55,61.0,12.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-03-12 16:55:00,Via la Pesca,2025-03-17 21:00:00,cabotaje salida,general suelta,atún,71.553,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,123.0,122.0,79.3,marzo,2025
29.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-02 08:50:00,"La Paz, Bc",2025-03-02 16:21:00,cabotaje entrada,general suelta,mercancías diversas,2526.55,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-02 08:50:00,"La Paz, Bc",2025-03-02 16:21:00,cabotaje salida,general suelta,mercancías diversas,4462.05,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
30.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-05 08:42:00,"La Paz, Bc",2025-03-05 16:33:00,cabotaje entrada,general suelta,mercancías diversas,2049.3,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-05 08:42:00,"La Paz, Bc",2025-03-05 16:33:00,cabotaje salida,general suelta,mercancías diversas,4256.71,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
31.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-07 08:54:00,"La Paz, Bc",2025-03-07 16:23:00,cabotaje entrada,general suelta,mercancías diversas,1768.71,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
